path,ext,bytes,sha1_12,group,role,destination,status,first_headings
docs/experiment_reports/assets/hsi_band_image_transfer_2026-06-22/average_precision_summary.png,.png,137676,e146ef12a34a,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/hsi_band_image_transfer_2026-06-22/fixed_rank11_metrics.csv,.csv,4473,ea4901493fcf,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/hsi_band_image_transfer_2026-06-22/hermiston_score_maps.jpg,.jpg,308969,4af233fe0c26,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/hsi_band_image_transfer_2026-06-22/rank_sensitivity.png,.png,235971,1aa8ef641894,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/multiresolution_subspace_2026-06-23/chongqing_qualitative_comparison.png,.png,5076945,abbb2fee7308,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/multiresolution_subspace_2026-06-23/frozen_test_city_ap_deltas.png,.png,95209,3c3fbf75ce9c,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/multiresolution_subspace_2026-06-23/frozen_test_method_comparison.png,.png,125400,f2b201edf2ac,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/multiresolution_subspace_2026-06-23/norcia_qualitative_comparison.png,.png,4252557,2d08fcf5ac7d,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/multiresolution_subspace_2026-06-23/training_ablation_summary.png,.png,210831,f5adf50b36a6,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
docs/experiment_reports/assets/spacenet7_band_image_transfer_2026-06-22/aoi_average_precision.png,.png,173912,7c1ac83c021e,experiment_reports,experiment evidence/report/asset,EXPERIMENTS_RESULTS; METHODS_REFERENCE/LITERATURE as needed,preserved evidence; distilled into result ledger/index,
